Rok produkcji,Przebieg,Pojemność silnika,Rodzaj paliwa,Cena
2008,280 000 km,3 000 cm3,Diesel,29 900 PLN 
2014,88 000 km,2 000 cm3,Diesel,85 000 PLN 
2015,185 000 km,1 968 cm3,Diesel,103 900 PLN 
2008,235 950 km,2 995 cm3,Diesel,30 500 PLN 
2006,282 000 km,2 000 cm3,Benzyna,25 900 PLN 
2016,164 000 km,1 968 cm3,Diesel,104 900 PLN 
1999,193 000 km,2 800 cm3,Benzyna,10 900 PLN 
2006,215 000 km,2 967 cm3,Diesel,31 900 PLN 
2013,186 000 km,3 000 cm3,Diesel,141 450 PLN 
2018,26 559 km,2 967 cm3,Diesel,294 990 PLN 
2016,140 000 km,2 967 cm3,Diesel,"219 999,01 PLN "
2015,94 724 km,2 000 cm3,Diesel,98 000 PLN 
2015,186 000 km,1 968 cm3,Diesel,112 000 PLN 
2007,245 000 km,2 700 cm3,Diesel,25 900 PLN 
2016,132 242 km,1 968 cm3,Diesel,124 900 PLN 
2013,180 000 km,1 968 cm3,Diesel,67 500 PLN 
2001,452 000 km,1 800 cm3,Benzyna,13 000 PLN 
2006,390 000 km,Diesel,15 000 PLN ,
1999,260 123 km,4 200 cm3,Benzyna,18 900 PLN 
2017,16 963 km,1 968 cm3,Diesel,174 999 PLN 
2015,73 390 km,2 000 cm3,Diesel,124 900 PLN 
2006,373 400 km,2 000 cm3,Diesel,17 500 PLN 
2012,197 000 km,2 967 cm3,Diesel,45 000 PLN 
2017,27 654 km,1 968 cm3,Diesel,164 900 PLN 
2017,93 000 km,1 968 cm3,Diesel,149 800 PLN 
2004,215 000 km,3 200 cm3,Benzyna,19 900 PLN 
2005,254 000 km,1 984 cm3,Benzyna,18 500 PLN 
2016,142 615 km,2 967 cm3,Diesel,169 999 PLN 
2016,81 800 km,1 968 cm3,Diesel,148 707 PLN 
2016,43 000 km,1 968 cm3,Diesel,99 900 PLN 
2011,320 000 km,2 700 cm3,Diesel,33 900 PLN 
2003,304 600 km,1 984 cm3,Benzyna+LPG,15 900 PLN 
2012,198 948 km,1 968 cm3,Diesel,66 000 PLN 
2005,157 000 km,4 200 cm3,Benzyna,41 700 PLN 
2016,149 000 km,1 995 cm3,Diesel,109 900 PLN 
2005,279 200 km,2 400 cm3,Benzyna,23 950 PLN 
2017,149 000 km,1 997 cm3,Diesel,95 990 PLN 
2015,198 000 km,2 967 cm3,Diesel,122 877 PLN 
2011,137 500 km,1 968 cm3,Diesel,59 999 PLN 
2015,137 000 km,2 000 cm3,Diesel,99 600 PLN 
2015,105 100 km,1 968 cm3,Diesel,122 900 PLN 
2003,414 291 km,2 496 cm3,Diesel,5 990 PLN 
2015,149 000 km,1 995 cm3,Diesel,99 800 PLN 
2006,392 432 km,1 968 cm3,Diesel,22 500 PLN 
2018,8 022 km,1 984 cm3,Benzyna,219 900 PLN 
1998,260 000 km,2 771 cm3,Benzyna,5 500 PLN 
1999,300 058 km,1 896 cm3,Diesel,9 900 PLN 
2010,290 000 km,3 000 cm3,Diesel,47 000 PLN 
2015,67 000 km,2 000 cm3,Benzyna,135 000 PLN 
2004,274 000 km,2 400 cm3,Benzyna,19 000 PLN 
2010,363 000 km,2 700 cm3,Diesel,31 000 PLN 
2018,26 658 km,1 968 cm3,Diesel,164 900 PLN 
2014,178 000 km,1 984 cm3,Benzyna,59 900 PLN 
2018,22 804 km,1 968 cm3,Diesel,169 900 PLN 
2009,259 000 km,1 997 cm3,Diesel,29 990 PLN 
2003,230 000 km,1 896 cm3,Diesel,12 600 PLN 
2016,39 000 km,2 000 cm3,Benzyna,65 999 PLN 
2004,232 000 km,3 200 cm3,Benzyna,25 000 PLN 
2019,1 km,1 998 cm3,Diesel,159 500 PLN 
2016,117 200 km,Diesel,197 000 PLN ,
2014,188 000 km,2 000 cm3,Diesel,75 900 PLN 
1998,219 310 km,2 393 cm3,Benzyna,8 999 PLN 
2010,133 000 km,2 000 cm3,Diesel,44 999 PLN 
2015,153 448 km,1 968 cm3,Diesel,82 900 PLN 
2008,250 000 km,3 000 cm3,Diesel,34 000 PLN 
2007,231 000 km,2 000 cm3,Diesel,21 900 PLN 
2011,255 000 km,2 000 cm3,Diesel,52 900 PLN 
2005,295 000 km,2 698 cm3,Diesel,21 900 PLN 
2000,205 052 km,1 781 cm3,Benzyna,8 500 PLN 
1999,258 628 km,4 172 cm3,Benzyna,8 500 PLN 
2016,170 000 km,1 968 cm3,Diesel,109 900 PLN 
2004,374 000 km,1 900 cm3,Diesel,14 500 PLN 
2000,272 350 km,1 900 cm3,Diesel,11 000 PLN 
2007,299 000 km,3 000 cm3,Diesel,34 000 PLN 
2009,367 000 km,2 700 cm3,Diesel,22 900 PLN 
2002,143 000 km,1 800 cm3,Benzyna,16 800 PLN 
2014,188 840 km,2 000 cm3,Diesel,73 500 PLN 
2019,1 km,2 000 cm3,Benzyna,279 600 PLN 
2008,300 000 km,3 000 cm3,Diesel,29 900 PLN 
1996,345 890 km,1 896 cm3,Diesel,7 900 PLN 
2005,230 000 km,2 700 cm3,Diesel,19 900 PLN 
2003,260 000 km,1 896 cm3,Diesel,15 700 PLN 
2003,320 000 km,1 900 cm3,Diesel,12 800 PLN 
2001,340 000 km,Diesel,10 500 PLN ,
2007,160 000 km,2 000 cm3,Benzyna,24 900 PLN 
2006,207 900 km,2 000 cm3,Benzyna,23 700 PLN 
2004,229 432 km,3 200 cm3,Benzyna,22 900 PLN 
2010,252 000 km,2 000 cm3,Diesel,37 900 PLN 
2008,241 153 km,3 000 cm3,Diesel,27 900 PLN 
2012,215 000 km,3 000 cm3,Diesel,62 000 PLN 
2006,229 000 km,3 123 cm3,Benzyna,25 800 PLN 
2015,23 000 km,2 000 cm3,Benzyna,91 900 PLN 
2010,187 000 km,Diesel,49 500 PLN ,
2014,130 000 km,2 000 cm3,Benzyna,88 000 PLN 
2007,220 000 km,2 700 cm3,Diesel,22 900 PLN 
2015,35 000 km,3 000 cm3,Diesel,161 130 PLN 
1998,214 000 km,2 400 cm3,Benzyna,8 800 PLN 
2007,170 000 km,2 000 cm3,Benzyna,23 000 PLN 
2011,245 000 km,1 968 cm3,Diesel,28 900 PLN 
2007,250 000 km,Diesel,33 210 PLN ,
2001,326 000 km,2 500 cm3,Diesel,3 900 PLN 
2012,116 700 km,2 997 cm3,Diesel,86 500 PLN 
2007,273 000 km,Diesel,27 500 PLN ,
2012,309 000 km,2 000 cm3,Diesel,57 000 PLN 
2012,189 000 km,Diesel,69 999 PLN ,
2004,205 000 km,2 500 cm3,Diesel,4 999 PLN 
2000,100 000 km,Diesel,2 500 PLN ,
2012,237 211 km,2 926 cm3,Diesel,77 900 PLN 
2003,192 000 km,1 796 cm3,Benzyna,11 900 PLN 
2009,290 100 km,2 700 cm3,Diesel,37 999 PLN 
2006,295 000 km,2 999 cm3,Diesel,23 500 PLN 
2005,294 300 km,2 967 cm3,Diesel,22 800 PLN 
2004,287 000 km,2 000 cm3,Diesel,18 900 PLN 
2011,236 000 km,2 967 cm3,Diesel,84 900 PLN 
2013,138 000 km,2 000 cm3,Benzyna,37 500 PLN 
2012,199 800 km,2 967 cm3,Diesel,99 900 PLN 
2005,194 550 km,2 700 cm3,Diesel,20 900 PLN 
2012,149 000 km,2 000 cm3,Diesel,44 000 PLN 
2013,120 000 km,1 968 cm3,Diesel,69 800 PLN 
2014,157 000 km,3 000 cm3,Diesel,89 900 PLN 
2014,146 000 km,3 000 cm3,Diesel,79 900 PLN 
2005,266 000 km,2 698 cm3,Diesel,17 900 PLN 
2009,253 000 km,1 980 cm3,Diesel,28 000 PLN 
2012,238 451 km,3 000 cm3,Diesel,42 000 PLN 
2011,199 109 km,1 968 cm3,Diesel,45 000 PLN 
2014,202 000 km,2 000 cm3,Diesel,69 900 PLN 
2017,26 000 km,1 968 cm3,Diesel,154 900 PLN 
2017,52 550 km,1 968 cm3,Diesel,132 900 PLN 
2006,163 500 km,2 400 cm3,Benzyna,28 300 PLN 
2004,219 000 km,2 987 cm3,Diesel,19 800 PLN 
2019,700 km,1 968 cm3,Benzyna,329 900 PLN 
2000,256 000 km,2 400 cm3,Benzyna+LPG,10 500 PLN 
1999,170 400 km,2 393 cm3,Benzyna,10 900 PLN 
2012,147 000 km,1 968 cm3,Diesel,67 999 PLN 
2017,56 500 km,1 968 cm3,Diesel,132 900 PLN 
2002,284 000 km,1 900 cm3,Diesel,11 900 PLN 
2004,278 000 km,3 000 cm3,Diesel,19 800 PLN 
2015,177 000 km,3 000 cm3,Diesel,95 940 PLN 
2013,157 000 km,1 968 cm3,Diesel,55 299 PLN 
2004,257 230 km,2 000 cm3,Diesel,14 500 PLN 
2016,133 720 km,3 000 cm3,Diesel,142 700 PLN 
1999,211 000 km,2 393 cm3,Benzyna,10 500 PLN 
2004,226 000 km,2 400 cm3,Benzyna,12 900 PLN 
2006,184 435 km,1 968 cm3,Diesel,23 500 PLN 
2007,187 000 km,2 000 cm3,Benzyna,27 900 PLN 
2002,312 625 km,2 500 cm3,Diesel,10 000 PLN 
2012,197 500 km,3 000 cm3,Diesel,85 000 PLN 
2011,243 600 km,3 000 cm3,Diesel,75 900 PLN 
2004,223 000 km,2 967 cm3,Diesel,27 000 PLN 
2012,241 162 km,3 000 cm3,Diesel,61 500 PLN 
1998,220 000 km,2 393 cm3,Benzyna,9 300 PLN 
1996,228 000 km,1 781 cm3,Benzyna,7 999 PLN 
2013,161 000 km,1 968 cm3,Diesel,61 900 PLN 
2004,180 000 km,2 968 cm3,Diesel,20 500 PLN 
2014,138 600 km,1 968 cm3,Diesel,87 900 PLN 
2005,207 000 km,3 000 cm3,Diesel,23 900 PLN 
2006,230 000 km,2 400 cm3,Benzyna,25 900 PLN 
2016,53 788 km,1 984 cm3,Benzyna,146 900 PLN 
2017,36 817 km,1 968 cm3,Diesel,158 900 PLN 
2015,170 000 km,2 968 cm3,Diesel,115 000 PLN 
2014,152 000 km,2 000 cm3,Benzyna,77 367 PLN 
2015,151 299 km,3 000 cm3,Diesel,125 899 PLN 
2004,332 000 km,2 500 cm3,Diesel,10 900 PLN 
2016,129 700 km,2 000 cm3,Diesel,139 900 PLN 
1999,146 200 km,1 800 cm3,Benzyna,10 999 PLN 
2006,254 794 km,2 698 cm3,Diesel,24 600 PLN 
2003,155 000 km,2 000 cm3,Benzyna,14 900 PLN 
2002,181 000 km,2 400 cm3,Benzyna+LPG,16 900 PLN 
2015,149 500 km,2 000 cm3,Diesel,104 900 PLN 
2015,197 050 km,1 968 cm3,Diesel,81 900 PLN 
2004,309 075 km,2 400 cm3,Benzyna,18 700 PLN 
2004,227 000 km,3 123 cm3,Benzyna,29 500 PLN 
1995,363 000 km,1 900 cm3,Diesel,10 900 PLN 
2015,39 000 km,3 000 cm3,Diesel,149 898 PLN 
2007,267 796 km,2 000 cm3,Diesel,29 900 PLN 
2002,380 000 km,Diesel,6 500 PLN ,
2013,173 000 km,2 000 cm3,Diesel,67 900 PLN 
2006,333 056 km,2 967 cm3,Diesel,22 900 PLN 
2018,16 000 km,3 000 cm3,Diesel,329 990 PLN 
2010,251 000 km,3 000 cm3,Diesel,46 900 PLN 
2002,267 000 km,2 000 cm3,Benzyna+LPG,7 999 PLN 
2004,208 000 km,2 500 cm3,Diesel,8 900 PLN 
2017,25 329 km,1 968 cm3,Diesel,109 000 PLN 
2006,283 000 km,2 967 cm3,Diesel,31 900 PLN 
2008,281 000 km,1 968 cm3,Diesel,23 900 PLN 
2015,76 012 km,2 987 cm3,Diesel,139 900 PLN 
