Rok produkcji,Przebieg,Pojemność silnika,Rodzaj paliwa,Cena
2011,175 000 km,3 000 cm3,Diesel,69 900 PLN 
2014,131 000 km,1 968 cm3,Diesel,68 000 PLN 
2007,232 000 km,2 698 cm3,Diesel,24 999 PLN 
2012,199 000 km,3 000 cm3,Diesel,79 900 PLN 
2013,169 500 km,2 000 cm3,Benzyna,66 900 PLN 
2009,223 000 km,2 000 cm3,Benzyna,29 900 PLN 
2013,229 000 km,3 000 cm3,Diesel,98 900 PLN 
2008,270 000 km,1 968 cm3,Diesel,25 900 PLN 
2016,100 000 km,1 968 cm3,Diesel,145 900 PLN 
2009,317 564 km,2 998 cm3,Diesel,38 000 PLN 
2012,219 106 km,2 000 cm3,Diesel,37 900 PLN 
2017,235 000 km,3 000 cm3,Diesel,93 000 PLN 
2009,239 000 km,1 997 cm3,Diesel,33 800 PLN 
2009,205 000 km,2 967 cm3,Diesel,34 900 PLN 
2010,210 000 km,1 997 cm3,Diesel,33 800 PLN 
2004,344 000 km,2 394 cm3,Benzyna+LPG,16 500 PLN 
2003,204 325 km,2 998 cm3,Benzyna,15 800 PLN 
2004,246 000 km,1 800 cm3,Benzyna,15 900 PLN 
2005,228 000 km,2 400 cm3,Benzyna,24 900 PLN 
2011,114 000 km,2 000 cm3,Diesel,39 900 PLN 
2004,203 000 km,2 393 cm3,Benzyna,17 900 PLN 
2006,234 900 km,1 968 cm3,Diesel,24 900 PLN 
2015,66 000 km,2 967 cm3,Diesel,27 060 EUR 
1998,249 852 km,1 800 cm3,Benzyna,8 500 PLN 
2001,280 000 km,3 000 cm3,Benzyna+LPG,14 900 PLN 
2002,240 000 km,1 900 cm3,Diesel,8 900 PLN 
2008,335 000 km,2 967 cm3,Diesel,11 100 PLN 
2005,138 033 km,Diesel,18 500 PLN ,
2006,385 000 km,2 700 cm3,Diesel,23 900 PLN 
2012,210 000 km,1 968 cm3,Diesel,69 000 PLN 
2016,204 000 km,1 998 cm3,Diesel,77 900 PLN 
2007,174 500 km,2 000 cm3,Diesel,24 900 PLN 
2013,184 000 km,1 998 cm3,Diesel,69 900 PLN 
2014,105 000 km,3 000 cm3,Diesel,86 000 PLN 
2011,224 680 km,2 800 cm3,Benzyna,38 900 PLN 
2015,338 000 km,3 000 cm3,Diesel,89 900 PLN 
2018,26 800 km,2 967 cm3,Diesel,299 900 PLN 
2018,11 000 km,2 995 cm3,Benzyna,300 000 PLN 
2011,117 000 km,3 000 cm3,Diesel,69 900 PLN 
2012,219 000 km,2 000 cm3,Diesel,62 900 PLN 
2016,68 000 km,2 000 cm3,Diesel,103 900 PLN 
2008,154 000 km,2 393 cm3,Benzyna,29 999 PLN 
1998,315 000 km,2 500 cm3,Diesel,4 300 PLN 
1998,263 000 km,2 393 cm3,Benzyna+LPG,8 000 PLN 
2005,230 000 km,3 000 cm3,Diesel,25 900 PLN 
2011,134 000 km,2 967 cm3,Diesel,69 900 PLN 
2000,170 000 km,4 172 cm3,Benzyna,20 500 PLN 
2002,259 000 km,2 400 cm3,Benzyna,9 900 PLN 
2015,180 000 km,2 000 cm3,Diesel,92 500 PLN 
2006,320 000 km,2 999 cm3,Diesel,26 900 PLN 
2005,295 000 km,3 000 cm3,Diesel,23 500 PLN 
1994,123 465 km,2 500 cm3,Diesel,3 499 PLN 
2003,413 000 km,2 499 cm3,Diesel,4 999 PLN 
2009,316 000 km,2 000 cm3,Diesel,25 900 PLN 
2004,192 000 km,2 400 cm3,Benzyna,17 900 PLN 
2005,345 000 km,Diesel,16 500 PLN ,
2008,284 000 km,2 000 cm3,Diesel,27 500 PLN 
2015,189 000 km,1 997 cm3,Diesel,75 990 PLN 
2010,177 067 km,2 000 cm3,Diesel,44 900 PLN 
2005,256 000 km,2 967 cm3,Diesel,25 000 PLN 
2015,135 000 km,2 968 cm3,Diesel,147 800 PLN 
2008,274 075 km,3 000 cm3,Diesel,29 900 PLN 
2015,220 141 km,2 998 cm3,Diesel,121 500 PLN 
2004,202 000 km,2 998 cm3,Diesel,19 900 PLN 
2003,192 604 km,Benzyna+LPG,11 700 PLN ,
2014,194 000 km,1 984 cm3,Benzyna,73 900 PLN 
2013,192 000 km,1 968 cm3,Diesel,72 900 PLN 
2003,333 000 km,1 896 cm3,Diesel,11 800 PLN 
2003,195 000 km,2 400 cm3,Benzyna,11 700 PLN 
2007,250 000 km,2 000 cm3,Diesel,21 900 PLN 
1997,237 000 km,2 600 cm3,Benzyna,3 999 PLN 
2006,230 000 km,2 400 cm3,Benzyna,25 900 PLN 
2003,280 000 km,1 781 cm3,Benzyna,4 800 PLN 
2007,279 000 km,2 698 cm3,Diesel,21 700 PLN 
2006,196 000 km,3 200 cm3,Benzyna,26 300 PLN 
2010,232 345 km,2 000 cm3,Diesel,34 900 PLN 
2005,283 000 km,2 700 cm3,Diesel,13 900 PLN 
2015,174 500 km,2 000 cm3,Diesel,92 900 PLN 
2005,201 776 km,2 969 cm3,Diesel,12 500 PLN 
2012,196 000 km,2 000 cm3,Diesel,55 850 PLN 
2009,258 000 km,2 700 cm3,Diesel,32 900 PLN 
2004,285 420 km,3 123 cm3,Benzyna,23 900 PLN 
2007,233 000 km,2 000 cm3,Diesel,25 000 PLN 
2014,167 431 km,1 997 cm3,Diesel,79 900 PLN 
2006,195 000 km,2 000 cm3,Diesel,23 500 PLN 
2011,240 000 km,2 000 cm3,Diesel,27 900 PLN 
2013,303 000 km,1 968 cm3,Diesel,44 400 PLN 
2011,117 000 km,2 000 cm3,Diesel,68 100 PLN 
1999,188 000 km,1 800 cm3,Benzyna,7 900 PLN 
1998,287 224 km,2 496 cm3,Diesel,6 500 PLN 
2006,295 075 km,4 163 cm3,Benzyna+LPG,24 800 PLN 
2007,250 000 km,2 400 cm3,Benzyna+LPG,21 000 PLN 
2006,263 500 km,2 700 cm3,Diesel,25 000 PLN 
2000,224 500 km,4 200 cm3,Benzyna,14 900 PLN 
2009,256 000 km,2 967 cm3,Diesel,37 900 PLN 
2004,283 990 km,2 496 cm3,Diesel,7 900 PLN 
1997,257 000 km,1 900 cm3,Diesel,8 500 PLN 
2005,239 376 km,3 200 cm3,Benzyna,22 999 PLN 
2013,178 000 km,3 000 cm3,Etanol,89 900 PLN 
2006,230 000 km,2 393 cm3,Benzyna+LPG,24 999 PLN 
2006,343 000 km,2 000 cm3,Diesel,18 500 PLN 
2006,210 000 km,2 700 cm3,Diesel,24 900 PLN 
2012,180 000 km,1 998 cm3,Diesel,43 500 PLN 
2006,168 000 km,2 400 cm3,Benzyna,24 300 PLN 
2017,58 000 km,1 968 cm3,Diesel,88 900 PLN 
2015,170 000 km,Diesel,104 000 PLN ,
2011,144 000 km,2 000 cm3,Diesel,55 000 PLN 
2003,234 000 km,1 900 cm3,Diesel,13 900 PLN 
2012,192 000 km,2 000 cm3,Diesel,75 030 PLN 
2013,210 000 km,1 998 cm3,Diesel,51 200 PLN 
2009,268 000 km,1 968 cm3,Diesel,29 900 PLN 
2011,190 000 km,1 968 cm3,Diesel,59 900 PLN 
2006,349 285 km,3 000 cm3,Diesel,14 900 PLN 
2003,272 000 km,3 000 cm3,Benzyna,14 999 PLN 
2013,152 900 km,1 968 cm3,Diesel,84 950 PLN 
2001,182 476 km,2 400 cm3,Benzyna,10 500 PLN 
2004,272 083 km,2 496 cm3,Diesel,9 900 PLN 
2007,270 300 km,2 967 cm3,Diesel,24 900 PLN 
2007,197 000 km,2 000 cm3,Benzyna,29 990 PLN 
2014,174 700 km,2 000 cm3,Diesel,69 900 PLN 
2014,186 800 km,2 000 cm3,Diesel,49 900 PLN 
2002,215 000 km,1 798 cm3,Benzyna,7 200 PLN 
2006,223 849 km,2 393 cm3,Benzyna,26 500 PLN 
2007,186 000 km,4 200 cm3,Benzyna,32 900 PLN 
2006,262 000 km,2 698 cm3,Diesel,21 900 PLN 
2016,25 000 km,3 000 cm3,Benzyna,149 000 PLN 
2005,423 000 km,2 700 cm3,Diesel,18 900 PLN 
2018,18 000 km,2 000 cm3,Diesel,136 900 PLN 
1998,326 000 km,1 800 cm3,Benzyna+LPG,7 900 PLN 
2008,247 000 km,2 000 cm3,Diesel,24 500 PLN 
2018,10 km,1 968 cm3,Diesel,238 995 PLN 
2018,10 km,2 967 cm3,Diesel,315 252 PLN 
2005,214 000 km,3 000 cm3,Diesel,26 900 PLN 
2015,154 000 km,2 000 cm3,Diesel,93 900 PLN 
2005,284 000 km,2 698 cm3,Diesel,26 000 PLN 
2003,297 000 km,1 900 cm3,Diesel,12 900 PLN 
1999,270 000 km,1 896 cm3,Diesel,7 999 PLN 
2006,187 000 km,2 000 cm3,Benzyna,22 500 PLN 
2005,290 000 km,3 000 cm3,Diesel,24 500 PLN 
2004,240 000 km,2 000 cm3,Benzyna,9 950 PLN 
2008,216 000 km,Diesel,35 000 PLN ,
2015,176 000 km,1 968 cm3,Diesel,84 700 PLN 
2010,254 760 km,2 000 cm3,Diesel,38 900 PLN 
2010,125 000 km,Benzyna,51 900 PLN ,
2004,297 669 km,4 200 cm3,Benzyna+LPG,26 996 PLN 
2001,230 000 km,3 000 cm3,Benzyna,16 700 PLN 
2013,124 000 km,Diesel,74 000 PLN ,
2009,265 733 km,3 000 cm3,Benzyna,36 000 PLN 
2005,320 000 km,Diesel,22 500 PLN ,
2002,218 000 km,2 393 cm3,Benzyna,11 900 PLN 
2007,237 000 km,2 800 cm3,Benzyna,28 900 PLN 
2009,200 000 km,2 968 cm3,Diesel,44 935 PLN 
2000,278 482 km,1 896 cm3,Diesel,13 300 PLN 
2012,187 303 km,2 968 cm3,Diesel,94 900 PLN 
2007,273 000 km,2 698 cm3,Diesel,35 000 PLN 
2002,238 000 km,3 000 cm3,Benzyna,10 500 PLN 
2009,180 000 km,2 000 cm3,Diesel,40 800 PLN 
2001,240 000 km,2 400 cm3,Benzyna,9 500 PLN 
2012,161 123 km,1 968 cm3,Diesel,59 999 PLN 
2006,180 000 km,2 400 cm3,Benzyna,31 900 PLN 
2015,209 000 km,2 000 cm3,Diesel,69 900 PLN 
1997,221 428 km,2 393 cm3,Benzyna,8 900 PLN 
2012,272 000 km,1 968 cm3,Diesel,49 900 PLN 
2011,164 500 km,2 800 cm3,Benzyna,74 000 PLN 
2005,164 000 km,1 985 cm3,Diesel,16 700 PLN 
2008,180 000 km,2 700 cm3,Diesel,38 450 PLN 
2006,237 000 km,2 700 cm3,Diesel,19 900 PLN 
1998,238 747 km,2 400 cm3,Benzyna+LPG,8 200 PLN 
2005,265 000 km,3 000 cm3,Diesel,20 600 PLN 
2006,313 000 km,Diesel,16 500 PLN ,
2006,235 000 km,3 000 cm3,Diesel,18 500 PLN 
2007,252 321 km,2 000 cm3,Diesel,23 900 PLN 
2011,240 500 km,2 000 cm3,Diesel,53 000 PLN 
2001,270 000 km,2 800 cm3,Benzyna+LPG,9 999 PLN 
2004,238 000 km,2 496 cm3,Diesel,11 000 PLN 
2016,149 500 km,2 000 cm3,Diesel,107 500 PLN 
2006,386 000 km,2 400 cm3,Benzyna+LPG,18 999 PLN 
1999,280 000 km,2 400 cm3,Benzyna+LPG,10 500 PLN 
2015,120 000 km,2 000 cm3,Diesel,105 900 PLN 
2001,260 153 km,2 500 cm3,Diesel,10 900 PLN 
2004,350 000 km,3 000 cm3,Diesel,31 800 PLN 
2008,204 000 km,2 700 cm3,Diesel,28 900 PLN 
2013,224 600 km,Diesel,86 000 PLN ,
2007,212 000 km,2 000 cm3,Benzyna,12 999 PLN 
2014,73 337 km,2 995 cm3,Benzyna,77 500 PLN 
2009,340 000 km,3 000 cm3,Diesel,39 000 PLN 
2013,239 000 km,1 968 cm3,Diesel,62 900 PLN 
2009,252 000 km,3 000 cm3,Diesel,43 900 PLN 
2008,218 300 km,2 700 cm3,Diesel,29 900 PLN 
2010,254 000 km,1 968 cm3,Diesel,39 900 PLN 
2007,289 000 km,2 700 cm3,Diesel,25 055 PLN 
2013,201 500 km,1 968 cm3,Diesel,77 900 PLN 
2016,149 000 km,1 968 cm3,Diesel,94 999 PLN 
2000,270 000 km,1 781 cm3,Benzyna+LPG,9 200 PLN 
2004,274 000 km,1 900 cm3,Diesel,12 999 PLN 
2013,179 000 km,2 000 cm3,Diesel,68 900 PLN 
2015,60 000 km,Diesel,170 000 PLN ,
2001,317 000 km,2 800 cm3,Benzyna,8 000 PLN 
2007,220 000 km,2 000 cm3,Diesel,24 900 PLN 
2014,31 000 km,2 000 cm3,Benzyna,79 900 PLN 
2013,243 200 km,2 967 cm3,Diesel,77 900 PLN 
2012,205 500 km,3 000 cm3,Diesel,77 800 PLN 
1996,412 700 km,2 461 cm3,Diesel,8 900 PLN 
1999,233 000 km,2 400 cm3,Benzyna+LPG,8 900 PLN 
2016,56 000 km,2 995 cm3,Benzyna,142 000 PLN 
2005,185 000 km,2 400 cm3,Benzyna,13 700 PLN 
2013,200 000 km,1 998 cm3,Diesel,55 900 PLN 
2007,288 000 km,2 400 cm3,Benzyna,28 900 PLN 
2012,287 200 km,1 968 cm3,Diesel,46 900 PLN 
2009,103 000 km,1 984 cm3,Benzyna,44 900 PLN 
2005,204 500 km,2 400 cm3,Benzyna,24 900 PLN 
2003,259 438 km,2 500 cm3,Diesel,13 500 PLN 
2000,290 000 km,4 200 cm3,Benzyna,18 900 PLN 
2000,240 000 km,2 393 cm3,Benzyna,9 000 PLN 
2005,289 000 km,4 198 cm3,Benzyna+LPG,36 900 PLN 
1997,193 000 km,2 400 cm3,Benzyna,9 800 PLN 
2005,244 000 km,2 393 cm3,Benzyna+LPG,32 000 PLN 
2007,316 000 km,2 700 cm3,Diesel,18 900 PLN 
2004,294 500 km,1 900 cm3,Diesel,14 900 PLN 
2011,230 000 km,2 000 cm3,Diesel,38 900 PLN 
2006,350 000 km,3 000 cm3,Diesel,19 800 PLN 
2014,65 000 km,3 000 cm3,Benzyna,92 000 PLN 
2007,293 000 km,1 968 cm3,Diesel,22 000 PLN 
2006,240 000 km,Diesel,24 800 PLN ,
2016,258 000 km,3 000 cm3,Diesel,99 700 PLN 
2006,178 000 km,2 400 cm3,Benzyna,23 900 PLN 
2018,10 000 km,2 000 cm3,Diesel,153 000 PLN 
1994,330 000 km,2 600 cm3,Benzyna,2 000 PLN 
2007,193 000 km,2 000 cm3,Benzyna,29 999 PLN 
2005,328 000 km,2 393 cm3,Benzyna,27 000 PLN 
2005,374 400 km,2 967 cm3,Diesel,18 700 PLN 
2002,319 000 km,1 900 cm3,Diesel,8 400 PLN 
2009,282 000 km,3 000 cm3,Diesel,43 900 PLN 
1998,180 500 km,2 393 cm3,Benzyna,3 500 PLN 
2005,248 500 km,Benzyna,20 000 PLN ,
2015,80 900 km,1 960 cm3,Diesel,104 999 PLN 
2011,159 000 km,2 700 cm3,Diesel,43 900 PLN 
2015,149 700 km,1 968 cm3,Diesel,83 900 PLN 
2002,280 000 km,Diesel,9 400 PLN ,
2000,315 000 km,2 400 cm3,Benzyna+LPG,12 500 PLN 
2012,129 000 km,3 000 cm3,Benzyna,92 900 PLN 
2015,175 000 km,3 000 cm3,Diesel,139 900 PLN 
2009,243 000 km,3 000 cm3,Diesel,39 900 PLN 
2009,205 000 km,1 968 cm3,Diesel,35 900 PLN 
2006,191 520 km,2 400 cm3,Benzyna+LPG,33 900 PLN 
2010,325 030 km,2 700 cm3,Diesel,34 900 PLN 
1999,346 000 km,2 496 cm3,Diesel,9 900 PLN 
1998,370 000 km,2 400 cm3,Benzyna+LPG,6 900 PLN 
2015,187 000 km,3 000 cm3,Diesel,73 900 PLN 
2012,163 200 km,3 000 cm3,Diesel,85 000 PLN 
2006,254 000 km,2 000 cm3,Diesel,19 900 PLN 
2005,250 881 km,2 967 cm3,Diesel,25 500 PLN 
2010,199 000 km,2 000 cm3,Diesel,34 900 PLN 
2009,244 000 km,2 000 cm3,Diesel,39 900 PLN 
2012,170 890 km,2 967 cm3,Diesel,99 900 PLN 
2012,188 350 km,1 968 cm3,Diesel,72 900 PLN 
2016,78 000 km,2 000 cm3,Diesel,14 500 EUR 
2015,43 643 km,2 000 cm3,Diesel,12 500 EUR 
2012,140 350 km,1 968 cm3,Diesel,67 900 PLN 
2008,229 655 km,2 700 cm3,Diesel,19 900 PLN 
1999,311 053 km,2 496 cm3,Diesel,6 500 PLN 
2004,242 000 km,2 400 cm3,Benzyna,11 900 PLN 
2014,131 600 km,1 986 cm3,Benzyna,81 900 PLN 
2003,201 000 km,2 393 cm3,Benzyna,4 900 PLN 
2006,366 000 km,1 968 cm3,Diesel,17 900 PLN 
2007,228 434 km,2 700 cm3,Diesel,24 900 PLN 
2015,143 000 km,2 967 cm3,Diesel,139 900 PLN 
2016,9 999 km,2 967 cm3,Diesel,159 900 PLN 
2015,9 999 km,1 968 cm3,Diesel,126 900 PLN 
2015,105 000 km,1 968 cm3,Diesel,133 900 PLN 
2016,9 999 km,3 993 cm3,Benzyna,269 900 PLN 
2015,117 500 km,1 968 cm3,Diesel,124 900 PLN 
2015,9 999 km,2 967 cm3,Diesel,154 900 PLN 
2016,9 999 km,1 968 cm3,Diesel,133 900 PLN 
2014,9 999 km,2 967 cm3,Diesel,144 900 PLN 
2015,9 999 km,2 967 cm3,Diesel,154 900 PLN 
2015,9 999 km,1 968 cm3,Diesel,111 900 PLN 
2015,98 800 km,2 967 cm3,Diesel,164 900 PLN 
1997,289 000 km,1 800 cm3,Benzyna+LPG,8 000 PLN 
2016,119 000 km,1 968 cm3,Diesel,86 999 PLN 
2011,272 000 km,Diesel,53 400 PLN ,
2003,224 000 km,2 400 cm3,Benzyna,13 900 PLN 
2001,257 000 km,4 200 cm3,Benzyna,17 900 PLN 
2003,282 300 km,2 393 cm3,Benzyna+LPG,11 699 PLN 
2014,194 809 km,2 995 cm3,Benzyna,96 900 PLN 
2002,241 000 km,2 400 cm3,Benzyna,6 900 PLN 
2011,198 000 km,Benzyna,79 500 PLN ,
2009,1 110 000 km,3 000 cm3,Diesel,15 400 PLN 
2004,244 000 km,3 200 cm3,Benzyna,20 000 PLN 
1997,223 684 km,2 771 cm3,Benzyna,12 900 PLN 
1997,452 000 km,2 400 cm3,Benzyna+LPG,5 999 PLN 
2014,204 000 km,2 000 cm3,Diesel,71 900 PLN 
2005,216 777 km,2 700 cm3,Diesel,29 900 PLN 
2008,262 500 km,2 700 cm3,Diesel,26 550 PLN 
2009,233 000 km,2 000 cm3,Diesel,30 900 PLN 
2015,98 480 km,1 968 cm3,Diesel,23 490 EUR 
2000,270 000 km,2 393 cm3,Benzyna+LPG,12 500 PLN 
2012,221 000 km,2 000 cm3,Diesel,56 900 PLN 
2014,189 000 km,2 000 cm3,Diesel,67 900 PLN 
2012,292 000 km,2 000 cm3,Diesel,45 000 PLN 
2009,139 000 km,2 000 cm3,Diesel,34 900 PLN 
2006,263 000 km,2 967 cm3,Diesel,16 800 PLN 
2008,247 000 km,3 000 cm3,Diesel,44 950 PLN 
2000,163 000 km,1 800 cm3,Benzyna,11 500 PLN 
2013,194 500 km,2 967 cm3,Diesel,84 900 PLN 
2005,233 000 km,2 700 cm3,Diesel,21 800 PLN 
2008,230 000 km,2 700 cm3,Diesel,29 600 PLN 
2006,278 833 km,2 000 cm3,Benzyna,18 500 PLN 
2011,204 000 km,1 968 cm3,Diesel,73 900 PLN 
2013,89 000 km,1 968 cm3,Diesel,78 799 PLN 
2004,307 500 km,3 200 cm3,Benzyna,21 000 PLN 
2008,207 000 km,3 000 cm3,Diesel,29 900 PLN 
2009,312 000 km,2 000 cm3,Benzyna,29 900 PLN 
2007,174 000 km,2 000 cm3,Diesel,22 900 PLN 
1996,340 000 km,2 500 cm3,Diesel,18 900 PLN 
2006,296 000 km,2 393 cm3,Benzyna+LPG,25 500 PLN 
1998,242 000 km,2 800 cm3,Benzyna,10 800 PLN 
2005,31 000 km,3 000 cm3,Diesel,22 999 PLN 
2006,282 707 km,2 700 cm3,Diesel,23 500 PLN 
1998,220 000 km,1 900 cm3,Diesel,7 200 PLN 
2010,336 000 km,1 998 cm3,Diesel,34 900 PLN 
2013,128 000 km,3 000 cm3,Diesel,123 000 PLN 
2008,199 450 km,2 967 cm3,Diesel,34 600 PLN 
2007,259 000 km,2 700 cm3,Diesel,21 000 PLN 
2016,118 700 km,3 000 cm3,Diesel,114 900 PLN 
2003,286 000 km,1 896 cm3,Diesel,12 900 PLN 
2015,196 000 km,Diesel,89 900 PLN ,
2004,215 000 km,3 000 cm3,Diesel,19 999 PLN 
2012,203 000 km,2 000 cm3,Diesel,49 900 PLN 
2002,387 000 km,2 496 cm3,Diesel,13 500 PLN 
2010,45 000 km,3 000 cm3,Diesel,49 999 PLN 
2001,250 000 km,2 976 cm3,Benzyna,8 300 PLN 
2010,187 052 km,2 800 cm3,Benzyna,46 000 PLN 
2008,245 700 km,2 967 cm3,Diesel,32 500 PLN 
2016,173 278 km,1 968 cm3,Diesel,113 000 PLN 
2013,220 000 km,3 000 cm3,Diesel,65 190 PLN 
2005,320 000 km,Diesel,18 900 PLN ,
2015,150 000 km,2 967 cm3,Diesel,45 000 PLN 
2007,189 000 km,2 800 cm3,Benzyna,26 900 PLN 
2017,85 400 km,1 968 cm3,Diesel,135 000 PLN 
2005,227 200 km,2 400 cm3,Benzyna,29 500 PLN 
2007,221 000 km,2 000 cm3,Diesel,23 800 PLN 
2015,110 000 km,3 000 cm3,Diesel,175 000 PLN 
2014,26 300 km,2 000 cm3,Diesel,30 000 PLN 
2008,205 000 km,2 967 cm3,Diesel,24 500 PLN 
2008,191 500 km,2 000 cm3,Benzyna,25 900 PLN 
2004,333 000 km,Diesel,19 500 PLN ,
2007,278 500 km,1 989 cm3,Diesel,20 900 PLN 
2004,277 000 km,3 000 cm3,Diesel,24 000 PLN 
2006,203 000 km,2 000 cm3,Benzyna,24 000 PLN 
2005,219 000 km,3 200 cm3,Benzyna,29 800 PLN 
1998,249 000 km,2 400 cm3,Benzyna,9 900 PLN 
2000,274 000 km,Benzyna,10 800 PLN ,
2011,255 000 km,2 000 cm3,Diesel,55 900 PLN 
2006,240 000 km,4 200 cm3,Benzyna,36 999 PLN 
2006,280 000 km,1 984 cm3,Benzyna,19 500 PLN 
2012,124 000 km,2 000 cm3,Diesel,73 500 PLN 
2002,259 000 km,1 800 cm3,Benzyna,9 999 PLN 
2004,153 000 km,2 400 cm3,Benzyna,26 400 PLN 
2006,240 000 km,3 000 cm3,Diesel,19 999 PLN 
2012,208 000 km,Diesel,61 000 PLN ,
1997,260 000 km,2 400 cm3,Benzyna+LPG,3 000 PLN 
2008,311 000 km,1 997 cm3,Diesel,25 900 PLN 
2004,310 000 km,3 000 cm3,Diesel,18 900 PLN 
2006,179 735 km,2 400 cm3,Benzyna,27 900 PLN 
2007,192 608 km,2 700 cm3,Diesel,23 800 PLN 
2012,243 000 km,3 000 cm3,Diesel,79 900 PLN 
2019,5 km,1 997 cm3,Diesel,164 720 PLN 
2011,221 000 km,2 000 cm3,Diesel,34 900 PLN 
2014,167 000 km,2 000 cm3,Diesel,62 500 PLN 
2017,43 500 km,2 967 cm3,Diesel,206 900 PLN 
1997,250 000 km,1 900 cm3,Diesel,10 900 PLN 
2006,170 000 km,2 698 cm3,Diesel,24 950 PLN 
2012,292 000 km,2 967 cm3,Diesel,64 999 PLN 
2018,10 km,1 968 cm3,Diesel,215 970 PLN 
2017,11 300 km,1 993 cm3,Benzyna,114 000 PLN 
2005,225 000 km,2 967 cm3,Diesel,21 900 PLN 
2007,185 000 km,3 200 cm3,Benzyna,32 900 PLN 
2006,263 000 km,2 000 cm3,Diesel,21 900 PLN 
2010,47 000 km,2 995 cm3,Benzyna,53 000 PLN 
2014,216 578 km,2 000 cm3,Diesel,73 999 PLN 
2013,100 000 km,3 000 cm3,Benzyna,72 499 PLN 
2010,290 000 km,2 700 cm3,Diesel,36 500 PLN 
2004,230 000 km,2 400 cm3,Benzyna,24 500 PLN 
2013,136 000 km,2 967 cm3,Diesel,98 900 PLN 
2003,355 000 km,2 500 cm3,Diesel,16 899 PLN 
2004,260 000 km,1 896 cm3,Diesel,15 500 PLN 
2010,215 000 km,2 700 cm3,Diesel,43 900 PLN 
2017,59 000 km,2 000 cm3,Diesel,199 000 PLN 
2005,259 000 km,1 984 cm3,Benzyna,21 500 PLN 
2017,91 700 km,2 967 cm3,Diesel,28 490 EUR 
2017,22 300 km,2 967 cm3,Diesel,32 890 EUR 
1999,376 532 km,Diesel,4 700 PLN ,
2009,183 000 km,2 000 cm3,Benzyna,44 700 PLN 
2018,25 345 km,1 968 cm3,Diesel,169 800 PLN 
2004,366 000 km,3 000 cm3,Diesel,21 900 PLN 
2016,55 139 km,1 968 cm3,Diesel,164 800 PLN 
2011,176 000 km,1 968 cm3,Diesel,73 900 PLN 
2011,173 000 km,2 000 cm3,Diesel,62 000 PLN 
2004,219 000 km,1 900 cm3,Diesel,14 900 PLN 
2018,10 km,2 967 cm3,Diesel,345 892 PLN 
2004,260 000 km,3 000 cm3,Diesel,21 900 PLN 
2018,48 600 km,2 967 cm3,Diesel,236 160 PLN 
2014,119 700 km,1 968 cm3,Diesel,79 950 PLN 
2015,155 000 km,2 000 cm3,Diesel,98 900 PLN 
2012,1 302 000 km,1 968 cm3,Diesel,72 900 PLN 
2001,220 000 km,2 496 cm3,Diesel,12 900 PLN 
2016,80 000 km,3 000 cm3,Diesel,159 000 PLN 
2003,280 000 km,1 896 cm3,Diesel,11 800 PLN 
2004,224 067 km,3 000 cm3,Diesel,20 000 PLN 
2007,262 000 km,1 968 cm3,Diesel,24 900 PLN 
1999,249 842 km,1 800 cm3,Benzyna,9 999 PLN 
2016,44 485 km,1 986 cm3,Diesel,149 000 PLN 
2013,188 083 km,2 000 cm3,Benzyna,68 800 PLN 
2017,10 000 km,1 968 cm3,Diesel,185 000 PLN 
2004,278 145 km,3 200 cm3,Benzyna,20 900 PLN 
2012,188 000 km,Diesel,86 100 PLN ,
2004,283 000 km,3 000 cm3,Benzyna+LPG,11 900 PLN 
2006,238 000 km,3 000 cm3,Diesel,28 600 PLN 
2002,205 000 km,3 000 cm3,Benzyna,11 999 PLN 
2010,215 000 km,1 968 cm3,Diesel,17 900 PLN 
2005,265 465 km,3 000 cm3,Diesel,16 900 PLN 
1997,217 000 km,2 393 cm3,Benzyna,10 800 PLN 
2005,209 762 km,2 395 cm3,Benzyna,21 900 PLN 
2017,48 000 km,3 000 cm3,Diesel,95 940 PLN 
2007,216 000 km,2 967 cm3,Diesel,31 500 PLN 
2009,227 538 km,2 000 cm3,Benzyna,27 999 PLN 
2013,156 000 km,2 000 cm3,Diesel,80 000 PLN 
2008,160 000 km,3 000 cm3,Diesel,33 900 PLN 
2010,219 111 km,2 000 cm3,Diesel,29 600 PLN 
2012,312 000 km,3 000 cm3,Diesel,51 500 PLN 
1998,240 000 km,Benzyna,8 800 PLN ,
2013,205 000 km,2 000 cm3,Diesel,66 500 PLN 
2005,438 000 km,Diesel,29 900 PLN ,
2006,245 000 km,1 996 cm3,Diesel,23 900 PLN 
2012,86 000 km,2 000 cm3,Diesel,67 300 PLN 
2010,91 000 km,3 000 cm3,Benzyna,59 000 PLN 
2008,315 000 km,2 700 cm3,Diesel,21 900 PLN 
1998,251 000 km,2 400 cm3,Benzyna,7 900 PLN 
2006,361 233 km,Diesel,21 000 PLN ,
2006,198 584 km,2 400 cm3,Benzyna,29 900 PLN 
2018,43 887 km,2 000 cm3,Diesel,139 324 PLN 
2015,120 000 km,2 998 cm3,Diesel,103 320 PLN 
2009,234 500 km,1 968 cm3,Diesel,28 999 PLN 
2005,396 000 km,2 700 cm3,Diesel,24 900 PLN 
2007,230 000 km,1 984 cm3,Benzyna,25 900 PLN 
1998,347 981 km,1 896 cm3,Diesel,8 900 PLN 
2007,298 900 km,1 968 cm3,Diesel,24 500 PLN 
